step,value,metric,run_id,algorithm,observation_mode,reward_mode
47606,0.3630000054836273,training_reward,dqn_compact_coverage,dqn,compact,coverage
47731,0.7894999980926514,training_reward,dqn_compact_coverage,dqn,compact,coverage
47941,0.8611000180244446,training_reward,dqn_compact_coverage,dqn,compact,coverage
48076,0.7551000118255615,training_reward,dqn_compact_coverage,dqn,compact,coverage
48151,0.41269999742507935,training_reward,dqn_compact_coverage,dqn,compact,coverage
48185,0.5156000256538391,training_reward,dqn_compact_coverage,dqn,compact,coverage
49271,-0.07620000094175339,training_reward,dqn_compact_coverage,dqn,compact,coverage
49597,-0.24120000004768372,training_reward,dqn_compact_coverage,dqn,compact,coverage
49654,0.147599995136261,training_reward,dqn_compact_coverage,dqn,compact,coverage
49759,0.2379000037908554,training_reward,dqn_compact_coverage,dqn,compact,coverage
49941,0.6455000042915344,training_reward,dqn_compact_coverage,dqn,compact,coverage
35,8.75,episode_length,dqn_compact_coverage,dqn,compact,coverage
310,38.75,episode_length,dqn_compact_coverage,dqn,compact,coverage
628,52.33333206176758,episode_length,dqn_compact_coverage,dqn,compact,coverage
1214,75.875,episode_length,dqn_compact_coverage,dqn,compact,coverage
1259,62.95000076293945,episode_length,dqn_compact_coverage,dqn,compact,coverage
1353,56.375,episode_length,dqn_compact_coverage,dqn,compact,coverage
1397,49.89285659790039,episode_length,dqn_compact_coverage,dqn,compact,coverage
1419,44.34375,episode_length,dqn_compact_coverage,dqn,compact,coverage
1486,41.27777862548828,episode_length,dqn_compact_coverage,dqn,compact,coverage
1660,41.5,episode_length,dqn_compact_coverage,dqn,compact,coverage
1713,38.931819915771484,episode_length,dqn_compact_coverage,dqn,compact,coverage
1793,37.35416793823242,episode_length,dqn_compact_coverage,dqn,compact,coverage
1821,35.019229888916016,episode_length,dqn_compact_coverage,dqn,compact,coverage
2125,37.94643020629883,episode_length,dqn_compact_coverage,dqn,compact,coverage
2202,36.70000076293945,episode_length,dqn_compact_coverage,dqn,compact,coverage
2278,35.59375,episode_length,dqn_compact_coverage,dqn,compact,coverage
2378,34.97058868408203,episode_length,dqn_compact_coverage,dqn,compact,coverage
2429,33.73611068725586,episode_length,dqn_compact_coverage,dqn,compact,coverage
2608,34.31578826904297,episode_length,dqn_compact_coverage,dqn,compact,coverage
2744,34.29999923706055,episode_length,dqn_compact_coverage,dqn,compact,coverage
2815,33.511905670166016,episode_length,dqn_compact_coverage,dqn,compact,coverage
2863,32.53409194946289,episode_length,dqn_compact_coverage,dqn,compact,coverage
2931,31.85869598388672,episode_length,dqn_compact_coverage,dqn,compact,coverage
2969,30.92708396911621,episode_length,dqn_compact_coverage,dqn,compact,coverage
3083,30.829999923706055,episode_length,dqn_compact_coverage,dqn,compact,coverage
3203,31.68000030517578,episode_length,dqn_compact_coverage,dqn,compact,coverage
3223,29.1299991607666,episode_length,dqn_compact_coverage,dqn,compact,coverage
3317,26.889999389648438,episode_length,dqn_compact_coverage,dqn,compact,coverage
3345,21.309999465942383,episode_length,dqn_compact_coverage,dqn,compact,coverage
3688,24.290000915527344,episode_length,dqn_compact_coverage,dqn,compact,coverage
3740,23.8700008392334,episode_length,dqn_compact_coverage,dqn,compact,coverage
3838,24.40999984741211,episode_length,dqn_compact_coverage,dqn,compact,coverage
3896,24.770000457763672,episode_length,dqn_compact_coverage,dqn,compact,coverage
4194,27.079999923706055,episode_length,dqn_compact_coverage,dqn,compact,coverage
4278,26.18000030517578,episode_length,dqn_compact_coverage,dqn,compact,coverage
4438,27.25,episode_length,dqn_compact_coverage,dqn,compact,coverage
4522,27.290000915527344,episode_length,dqn_compact_coverage,dqn,compact,coverage
4666,28.450000762939453,episode_length,dqn_compact_coverage,dqn,compact,coverage
4722,25.969999313354492,episode_length,dqn_compact_coverage,dqn,compact,coverage
4993,27.90999984741211,episode_length,dqn_compact_coverage,dqn,compact,coverage
5443,31.649999618530273,episode_length,dqn_compact_coverage,dqn,compact,coverage
5466,30.8799991607666,episode_length,dqn_compact_coverage,dqn,compact,coverage
5486,30.56999969482422,episode_length,dqn_compact_coverage,dqn,compact,coverage
5803,31.950000762939453,episode_length,dqn_compact_coverage,dqn,compact,coverage
6505,37.61000061035156,episode_length,dqn_compact_coverage,dqn,compact,coverage
6901,40.86000061035156,episode_length,dqn_compact_coverage,dqn,compact,coverage
6973,41.099998474121094,episode_length,dqn_compact_coverage,dqn,compact,coverage
7000,40.689998626708984,episode_length,dqn_compact_coverage,dqn,compact,coverage
7645,46.7599983215332,episode_length,dqn_compact_coverage,dqn,compact,coverage
7708,46.25,episode_length,dqn_compact_coverage,dqn,compact,coverage
8095,48.91999816894531,episode_length,dqn_compact_coverage,dqn,compact,coverage
8146,49.22999954223633,episode_length,dqn_compact_coverage,dqn,compact,coverage
8173,48.560001373291016,episode_length,dqn_compact_coverage,dqn,compact,coverage
8808,54.630001068115234,episode_length,dqn_compact_coverage,dqn,compact,coverage
9139,54.5099983215332,episode_length,dqn_compact_coverage,dqn,compact,coverage
9250,55.099998474121094,episode_length,dqn_compact_coverage,dqn,compact,coverage
9379,55.40999984741211,episode_length,dqn_compact_coverage,dqn,compact,coverage
10049,61.529998779296875,episode_length,dqn_compact_coverage,dqn,compact,coverage
10236,60.41999816894531,episode_length,dqn_compact_coverage,dqn,compact,coverage
10391,61.130001068115234,episode_length,dqn_compact_coverage,dqn,compact,coverage
11105,66.66999816894531,episode_length,dqn_compact_coverage,dqn,compact,coverage
11377,68.55000305175781,episode_length,dqn_compact_coverage,dqn,compact,coverage
11697,70.30999755859375,episode_length,dqn_compact_coverage,dqn,compact,coverage
11740,70.18000030517578,episode_length,dqn_compact_coverage,dqn,compact,coverage
12012,70.19000244140625,episode_length,dqn_compact_coverage,dqn,compact,coverage
12184,67.41000366210938,episode_length,dqn_compact_coverage,dqn,compact,coverage
13241,77.75,episode_length,dqn_compact_coverage,dqn,compact,coverage
13319,78.33000183105469,episode_length,dqn_compact_coverage,dqn,compact,coverage
13639,78.36000061035156,episode_length,dqn_compact_coverage,dqn,compact,coverage
14194,76.88999938964844,episode_length,dqn_compact_coverage,dqn,compact,coverage
14305,74.04000091552734,episode_length,dqn_compact_coverage,dqn,compact,coverage
14399,74.26000213623047,episode_length,dqn_compact_coverage,dqn,compact,coverage
14904,79.04000091552734,episode_length,dqn_compact_coverage,dqn,compact,coverage
15031,73.86000061035156,episode_length,dqn_compact_coverage,dqn,compact,coverage
15799,80.91000366210938,episode_length,dqn_compact_coverage,dqn,compact,coverage
15917,78.22000122070312,episode_length,dqn_compact_coverage,dqn,compact,coverage
16182,80.36000061035156,episode_length,dqn_compact_coverage,dqn,compact,coverage
16787,86.13999938964844,episode_length,dqn_compact_coverage,dqn,compact,coverage
16924,81.16000366210938,episode_length,dqn_compact_coverage,dqn,compact,coverage
17144,80.05000305175781,episode_length,dqn_compact_coverage,dqn,compact,coverage
17308,80.58000183105469,episode_length,dqn_compact_coverage,dqn,compact,coverage
17517,81.37999725341797,episode_length,dqn_compact_coverage,dqn,compact,coverage
17855,78.05999755859375,episode_length,dqn_compact_coverage,dqn,compact,coverage
17935,76.98999786376953,episode_length,dqn_compact_coverage,dqn,compact,coverage
18134,77.43000030517578,episode_length,dqn_compact_coverage,dqn,compact,coverage
18230,71.25,episode_length,dqn_compact_coverage,dqn,compact,coverage
18315,69.37999725341797,episode_length,dqn_compact_coverage,dqn,compact,coverage
18339,66.41999816894531,episode_length,dqn_compact_coverage,dqn,compact,coverage
19086,73.45999908447266,episode_length,dqn_compact_coverage,dqn,compact,coverage
